*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2010 285   136   348   209      0    442   1121     0     0   120    0.00   0.0   0.0   0.00   0.322   0.319   0.322   0.318   0.274   0.248
 2010 286   137   315   175      0    471   1121     0     0   120    0.00   0.0   0.0   0.00   0.265   0.271   0.274   0.274   0.257   0.247
 2010 287   138   346   206      0    479   1164     0     0   118    0.00   0.0   0.0   0.00   0.325   0.321   0.323   0.290   0.276   0.264
 2010 288   139   315   176      0    507   1164     0     0   119    0.00   0.0   0.0   0.00   0.272   0.274   0.276   0.264   0.259   0.254
 2010 289   140   303   164      0    517   1164     0     0   120    0.00   0.0   0.0   0.00   0.252   0.256   0.258   0.254   0.252   0.250
 2010 290   141   297   157      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.237   0.245   0.247   0.248   0.249   0.247
 2010 291   142   293   154      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.216   0.241   0.245   0.246   0.247   0.245
 2010 292   143   290   150      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.197   0.238   0.242   0.244   0.245   0.243
 2010 293   144   287   148      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.181   0.235   0.239   0.242   0.244   0.242
 2010 294   145   284   145      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.166   0.231   0.237   0.241   0.242   0.240
 2010 295   146   281   142      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.152   0.228   0.234   0.239   0.240   0.238
 2010 296   147   278   138      0    519   1164     0     0   120    0.00   0.0   0.0   0.00   0.141   0.225   0.231   0.237   0.238   0.236
