*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2008 210   101  17.30  30.50  22.10  4.272  3.088  1.158  4.246  3.088  1.158  0.000  0.000  437.94  354.47  199.99  154.48    0.00    0.00   0.302   0.230   0.198   0.196   0.142   0.090   0.309
 2008 211   102  15.80  28.00  22.20  3.804  2.688  1.092  3.780  2.688  1.092  0.000  0.000  441.74  358.25  202.68  155.57    0.00    0.00   0.296   0.223   0.183   0.178   0.130   0.082   0.269
 2008 212   103  12.20  30.20  22.20  3.029  2.090  0.921  3.011  2.090  0.921  0.000  0.000  444.77  361.26  204.77  156.49    0.00    0.00   0.248   0.187   0.153   0.151   0.112   0.071   0.209
 2008 213   104  15.30  30.00  21.60  3.773  2.526  1.223  3.749  2.526  1.223  0.000  0.000  448.54  365.01  207.29  157.72    0.00    0.00   0.328   0.243   0.202   0.201   0.152   0.097   0.253
 2008 214   105  14.20  28.50  21.90  3.463  2.242  1.200  3.442  2.242  1.200  0.000  0.000  452.01  368.45  209.53  158.92    0.00    0.00   0.316   0.236   0.200   0.200   0.151   0.097   0.224
 2008 215   106  18.60  31.00  23.00  4.703  2.930  1.744  4.352  2.930  1.422  0.000  0.000  456.71  372.80  212.46  160.34    0.00    0.00   1.184   0.156   0.047   0.022   0.009   0.004   0.293
 2008 216   107  10.00  32.00  23.00  2.556  1.518  1.026  2.543  1.518  1.026  0.000  0.000  459.27  375.35  213.98  161.37    0.00    0.00   0.840   0.121   0.037   0.017   0.007   0.003   0.152
 2008 217   108  15.10  30.50  22.40  3.791  2.116  1.657  3.314  2.116  1.198  0.000  0.000  463.06  378.66  216.10  162.56    0.00    0.00   0.968   0.149   0.046   0.021   0.009   0.004   0.212
 2008 218   109  18.50  30.30  22.40  4.623  2.583  2.021  3.673  2.574  1.100  0.000  0.000  467.68  382.33  218.67  163.66    0.00    0.00   0.874   0.146   0.045   0.021   0.009   0.004   0.257
 2008 219   110  12.90  28.00  21.80  3.124  1.743  1.366  2.756  1.743  1.012  0.000  0.000  470.80  385.09  220.41  164.68    0.00    0.00   0.791   0.143   0.044   0.021   0.009   0.004   0.174
 2008 220   111  13.60  29.50  22.00  3.345  1.865  1.463  2.956  1.865  1.091  0.000  0.000  474.15  388.05  222.28  165.77    0.00    0.00   0.873   0.141   0.044   0.021   0.009   0.004   0.187
 2008 221   112  15.10  32.00  22.30  3.847  2.145  1.682  3.306  2.145  1.162  0.000  0.000  478.00  391.35  224.42  166.93    0.00    0.00   0.947   0.139   0.043   0.020   0.009   0.004   0.214
 2008 222   113  10.50  32.50  22.80  2.692  1.503  1.177  2.560  1.495  1.065  0.000  0.000  480.69  393.91  225.92  167.99    0.00    0.00   0.854   0.136   0.043   0.020   0.009   0.004   0.149
