*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2008 234   125   123  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 235   126   124  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 236   127   125  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 237   128   126  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 238   129   127  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 239   130   128  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 240   131   129  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 241   132   130  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 242   133   131  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 243   134   132  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 244   135   133  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 245   136   134  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 246   137   135  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 247   138   136  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 248   139   137  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 249   140   138  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 250   141   139  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 251   142   140  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 252   143   141  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 253   144   142  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 254   145   143  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 255   146   144  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 256   147   145  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
