*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2014 227   100   469   177      0    125    724     0     0   114    0.00   0.0   0.0   0.00   0.393   0.396   0.397   0.389   0.389   0.388
 2014 228   101   469   177      0    133    736     0     0   114    0.00   0.0   0.0   0.00   0.394   0.396   0.397   0.389   0.389   0.388
 2014 229   102   464   172      0    139    740     0     0   114    0.00   0.0   0.0   0.00   0.399   0.392   0.389   0.383   0.385   0.386
 2014 230   103   460   169      0    144    746     0     0   116    0.00   0.0   0.0   0.00   0.394   0.396   0.388   0.379   0.381   0.383
 2014 231   104   464   172      0    149    757     0     0   116    0.00   0.0   0.0   0.00   0.397   0.397   0.398   0.384   0.382   0.383
 2014 232   105   467   175      0    155    769     0     0   115    0.00   0.0   0.0   0.00   0.399   0.398   0.399   0.388   0.386   0.384
 2014 233   106   465   173      0    160    776     0     0   115    0.00   0.0   0.0   0.00   0.396   0.397   0.396   0.384   0.384   0.384
 2014 234   107   461   169      0    165    780     0     0   116    0.00   0.0   0.0   0.00   0.399   0.393   0.388   0.381   0.382   0.383
 2014 235   108   457   166      0    169    783     0     0   117    0.00   0.0   0.0   0.00   0.398   0.389   0.384   0.378   0.379   0.380
 2014 236   109   465   173      0    174    800     0     0   116    0.00   0.0   0.0   0.00   0.394   0.395   0.397   0.388   0.383   0.382
 2014 237   110   470   178      0    181    817     0     0   114    0.00   0.0   0.0   0.00   0.394   0.396   0.397   0.395   0.390   0.386
 2014 238   111   470   178      0    188    826     0     0   114    0.00   0.0   0.0   0.00   0.401   0.399   0.399   0.389   0.389   0.388
 2014 239   112   463   171      0    195    831     0     0   115    0.00   0.0   0.0   0.00   0.394   0.394   0.390   0.382   0.384   0.385
 2014 240   113   457   166      0    199    835     0     0   117    0.00   0.0   0.0   0.00   0.394   0.389   0.383   0.377   0.379   0.381
 2014 241   114   463   171      0    204    848     0     0   117    0.00   0.0   0.0   0.00   0.398   0.397   0.398   0.383   0.381   0.381
 2014 242   115   466   174      0    209    859     0     0   116    0.00   0.0   0.0   0.00   0.399   0.398   0.398   0.387   0.384   0.383
 2014 243   116   465   174      0    214    868     0     0   116    0.00   0.0   0.0   0.00   0.398   0.398   0.398   0.385   0.384   0.383
 2014 244   117   466   175      0    220    877     0     0   115    0.00   0.0   0.0   0.00   0.399   0.398   0.399   0.386   0.385   0.384
 2014 245   118   460   169      0    225    880     0     0   116    0.00   0.0   0.0   0.00   0.399   0.387   0.387   0.381   0.382   0.382
 2014 246   119   457   165      0    229    883     0     0   117    0.00   0.0   0.0   0.00   0.399   0.386   0.382   0.377   0.379   0.380
 2014 247   120   452   161      0    231    885     0     0   118    0.00   0.0   0.0   0.00   0.395   0.381   0.377   0.374   0.375   0.377
 2014 248   121   452   161      0    233    890     0     0   119    0.00   0.0   0.0   0.00   0.399   0.389   0.379   0.374   0.374   0.375
 2014 249   122   462   170      0    235    905     0     0   118    0.00   0.0   0.0   0.00   0.399   0.398   0.398   0.385   0.380   0.377
 2014 250   123   459   167      0    238    907     0     0   118    0.00   0.0   0.0   0.00   0.398   0.387   0.387   0.381   0.380   0.379
 2014 251   124   449   157      0    245    907     0     0   120    0.00   0.0   0.0   0.00   0.377   0.375   0.376   0.374   0.374   0.374
 2014 252   125   450   159      0    245    912     0     0   120    0.00   0.0   0.0   0.00   0.400   0.384   0.377   0.373   0.373   0.373
 2014 253   126   446   154      0    247    912     0     0   120    0.00   0.0   0.0   0.00   0.378   0.374   0.371   0.371   0.371   0.371
 2014 254   127   457   165      0    248    929     0     0   120    0.00   0.0   0.0   0.00   0.397   0.396   0.397   0.379   0.375   0.373
 2014 255   128   466   174      0    252    946     0     0   117    0.00   0.0   0.0   0.00   0.398   0.397   0.397   0.392   0.384   0.379
 2014 256   129   469   178      0    258    959     0     0   115    0.00   0.0   0.0   0.00   0.399   0.398   0.398   0.393   0.389   0.384
 2014 257   130   463   171      0    264    963     0     0   116    0.00   0.0   0.0   0.00   0.398   0.391   0.388   0.383   0.384   0.384
 2014 258   131   467   176      0    271    979     0     0   115    0.00   0.0   0.0   0.00   0.397   0.396   0.397   0.390   0.386   0.385
 2014 259   132   463   171      0    276    984     0     0   116    0.00   0.0   0.0   0.00   0.401   0.394   0.390   0.383   0.384   0.383
 2014 260   133   462   170      0    281    992     0     0   117    0.00   0.0   0.0   0.00   0.399   0.397   0.395   0.381   0.381   0.381
 2014 261   134   465   174      0    287   1006     0     0   116    0.00   0.0   0.0   0.00   0.398   0.396   0.397   0.388   0.384   0.382
 2014 262   135   459   168      0    291   1009     0     0   117    0.00   0.0   0.0   0.00   0.398   0.389   0.387   0.381   0.381   0.380
 2014 263   136   453   162      0    295   1011     0     0   118    0.00   0.0   0.0   0.00   0.396   0.382   0.380   0.375   0.376   0.377
 2014 264   137   450   158      0    296   1014     0     0   120    0.00   0.0   0.0   0.00   0.398   0.381   0.377   0.372   0.373   0.373
 2014 265   138   451   160      0    297   1021     0     0   120    0.00   0.0   0.0   0.00   0.398   0.396   0.381   0.373   0.371   0.371
 2014 266   139   456   164      0    298   1030     0     0   120    0.00   0.0   0.0   0.00   0.399   0.397   0.395   0.377   0.374   0.372
 2014 267   140   453   162      0    299   1033     0     0   120    0.00   0.0   0.0   0.00   0.398   0.388   0.386   0.376   0.374   0.372
 2014 268   141   453   162      0    300   1039     0     0   120    0.00   0.0   0.0   0.00   0.397   0.396   0.385   0.375   0.373   0.372
 2014 269   142   451   159      0    300   1042     0     0   120    0.00   0.0   0.0   0.00   0.398   0.386   0.381   0.374   0.372   0.371
 2014 270   143   446   154      0    302   1042     0     0   120    0.00   0.0   0.0   0.00   0.377   0.375   0.373   0.371   0.370   0.371
 2014 271   144   445   154      0    302   1045     0     0   120    0.00   0.0   0.0   0.00   0.397   0.377   0.373   0.371   0.367   0.368
 2014 272   145   443   151      0    302   1048     0     0   120    0.00   0.0   0.0   0.00   0.397   0.378   0.373   0.370   0.364   0.365
 2014 273   146   447   155      0    302   1056     0     0   120    0.00   0.0   0.0   0.00   0.398   0.397   0.384   0.372   0.365   0.362
 2014 274   147   447   155      0    302   1061     0     0   120    0.00   0.0   0.0   0.00   0.397   0.395   0.384   0.373   0.368   0.359
 2014 275   148   445   154      0    302   1063     0     0   120    0.00   0.0   0.0   0.00   0.396   0.385   0.380   0.373   0.370   0.356
 2014 276   149   443   152      0    302   1066     0     0   120    0.00   0.0   0.0   0.00   0.398   0.381   0.377   0.372   0.370   0.354
 2014 277   150   457   166      0    302   1084     0     0   120    0.00   0.0   0.0   0.00   0.398   0.397   0.398   0.386   0.378   0.364
 2014 278   151   467   175      0    304   1099     0     0   118    0.00   0.0   0.0   0.00   0.401   0.399   0.399   0.393   0.386   0.377
 2014 279   152   461   169      0    308   1101     0     0   117    0.00   0.0   0.0   0.00   0.400   0.388   0.388   0.384   0.384   0.380
 2014 280   153   457   165      0    312   1106     0     0   118    0.00   0.0   0.0   0.00   0.397   0.391   0.384   0.378   0.379   0.378
 2014 281   154   461   170      0    316   1119     0     0   118    0.00   0.0   0.0   0.00   0.397   0.396   0.397   0.383   0.380   0.378
 2014 282   155   463   172      0    320   1130     0     0   117    0.00   0.0   0.0   0.00   0.397   0.397   0.398   0.386   0.382   0.380
 2014 283   156   464   172      0    325   1139     0     0   117    0.00   0.0   0.0   0.00   0.398   0.397   0.398   0.385   0.383   0.381
 2014 284   157   449   157      0    335   1139     0     0   120    0.00   0.0   0.0   0.00   0.374   0.377   0.379   0.374   0.373   0.373
 2014 285   158   446   155      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.384   0.374   0.373   0.371   0.372   0.370
 2014 286   159   442   151      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.369   0.369   0.370   0.369   0.369   0.367
 2014 287   160   438   146      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.348   0.366   0.367   0.366   0.366   0.365
 2014 288   161   433   141      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.322   0.361   0.363   0.363   0.363   0.362
 2014 289   162   428   136      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.295   0.356   0.360   0.360   0.360   0.359
 2014 290   163   423   131      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.273   0.351   0.356   0.356   0.357   0.356
 2014 291   164   418   126      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.253   0.346   0.353   0.353   0.353   0.353
 2014 292   165   413   122      0    335   1141     0     0   120    0.00   0.0   0.0   0.00   0.236   0.341   0.349   0.350   0.350   0.350
 2014 293   166   424   133      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.382   0.384   0.362   0.347   0.347   0.348
 2014 294   167   419   128      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.365   0.371   0.363   0.343   0.344   0.345
 2014 295   168   414   122      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.334   0.366   0.360   0.340   0.341   0.342
 2014 296   169   409   117      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.306   0.362   0.357   0.337   0.338   0.339
 2014 297   170   404   113      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.282   0.357   0.353   0.334   0.335   0.336
 2014 298   171   400   108      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.261   0.352   0.350   0.331   0.332   0.334
 2014 299   172   396   104      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.243   0.348   0.347   0.328   0.329   0.331
 2014 300   173   392   100      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.226   0.343   0.344   0.325   0.327   0.329
 2014 301   174   388    96      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.212   0.339   0.341   0.323   0.324   0.327
 2014 302   175   384    92      0    335   1157     0     0   120    0.00   0.0   0.0   0.00   0.198   0.335   0.338   0.320   0.321   0.324
