*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2015 015   100  15.40  31.60  17.20  3.621  2.978  0.640  3.505  2.978  0.527  0.000  0.000  366.95  285.97  176.64  109.33    0.00    0.00   0.459   0.051   0.011   0.004   0.002   0.001   0.298
 2015 016   101  17.19  31.10  19.20  4.058  3.334  0.718  3.734  3.334  0.400  0.000  0.000  371.01  289.70  179.98  109.72    0.00    0.00   0.342   0.041   0.011   0.004   0.002   0.001   0.333
 2015 017   102  18.64  31.80  17.70  4.367  3.588  0.772  1.800  1.511  0.289  0.000  0.000  375.38  291.50  181.49  110.01    0.00    0.00   0.239   0.034   0.010   0.004   0.002   0.001   0.151
 2015 018   103  16.78  31.40  18.80  3.939  3.200  0.732  1.334  1.042  0.291  0.000  0.000  379.32  292.83  182.53  110.31    0.00    0.00   0.245   0.031   0.009   0.004   0.002   0.001   0.104
 2015 019   104  16.47  31.10  17.40  3.822  3.065  0.752  1.240  0.942  0.298  0.000  0.000  383.14  294.07  183.47  110.60    0.00    0.00   0.254   0.030   0.009   0.004   0.002   0.001   0.094
 2015 020   105   9.05  26.40  16.90  1.980  1.566  0.412  1.163  0.751  0.412  0.000  0.000  385.12  295.24  184.22  111.02    0.00    0.00   0.177   0.092   0.051   0.038   0.030   0.024   0.075
 2015 021   106   9.32  26.40  18.40  2.161  1.690  0.469  2.159  1.690  0.469  0.000  0.000  387.28  297.40  185.91  111.48    0.00    0.00   0.195   0.116   0.071   0.035   0.029   0.023   0.169
 2015 022   107   9.41  26.70  17.50  2.133  1.670  0.463  2.133  1.670  0.463  0.000  0.000  389.41  299.53  187.58  111.95    0.00    0.00   0.194   0.107   0.080   0.034   0.026   0.021   0.167
 2015 023   108  17.79  31.70  15.90  4.259  3.332  0.923  4.255  3.332  0.923  0.000  0.000  393.67  303.78  190.91  112.87    0.00    0.00   0.349   0.227   0.174   0.075   0.054   0.044   0.333
 2015 024   109   9.75  27.80  16.30  2.209  1.728  0.479  2.207  1.728  0.479  0.000  0.000  395.88  305.99  192.64  113.35    0.00    0.00   0.175   0.115   0.093   0.043   0.030   0.024   0.173
 2015 025   110   9.18  25.60  14.90  2.005  1.569  0.435  2.004  1.569  0.435  0.000  0.000  397.89  308.00  194.21  113.78    0.00    0.00   0.154   0.105   0.086   0.040   0.028   0.022   0.157
 2015 026   111  17.10  30.30  15.60  3.954  3.094  0.857  3.951  3.094  0.857  0.000  0.000  401.84  311.95  197.31  114.64    0.00    0.00   0.291   0.211   0.172   0.081   0.056   0.045   0.309
 2015 027   112  21.77  32.10  16.00  5.128  4.010  1.112  4.622  4.010  0.612  0.000  0.000  406.97  316.57  201.32  115.25    0.00    0.00   0.523   0.064   0.018   0.004   0.002   0.001   0.401
 2015 028   113  20.89  32.80  19.20  5.046  3.945  1.094  4.446  3.945  0.501  0.000  0.000  412.01  321.01  205.26  115.75    0.00    0.00   0.422   0.057   0.016   0.004   0.002   0.001   0.394
