*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2009 244    88    85     2   240.2  231.0    9.2    2.37    4.70   11.18   15.61   14.22    9.00    1.92    1.70    1.63    0.05    0.04    0.05  272.18  291.16    0.43   64.01    0.00  208.17   69.83   27.44    0.00
 2009 245    89    85     2   229.8  220.4    9.4    2.55    4.32    9.47   13.96   13.82    9.87    1.96    1.74    1.67    0.05    0.04    0.05  274.22  292.58    0.49   64.41    0.00  209.80   69.83   39.43    0.00
 2009 246    90    85     2   230.7  221.3    9.4    2.92    4.51    9.25   13.77   13.95   10.09    1.94    1.73    1.69    0.05    0.05    0.05  276.43  294.38    0.50   64.82    0.00  211.61   69.83   40.33    0.00
 2009 247    91    85     2   231.8  222.4    9.5    3.38    4.86    9.33   13.64   13.97   10.20    1.92    1.73    1.71    0.05    0.05    0.04  278.69  296.18    0.51   65.23    0.00  213.46   69.83   41.02    0.00
 2009 248    92    85     2   232.1  222.6    9.5    3.73    5.06    9.34   13.49   13.94   10.30    1.90    1.73    1.73    0.05    0.05    0.04  280.90  297.95    0.52   65.64    0.00  215.26   69.83   42.50    0.00
 2009 249    93    85     2   233.9  224.4    9.5    2.94    5.18    9.59   13.53   14.05   10.47    1.89    1.73    1.75    0.05    0.05    0.04  283.13  299.72    0.52   66.05    0.00  217.07   69.83   42.50    0.00
 2009 250    94    85     2   232.7  223.2    9.6    1.62    3.72    8.56   13.40   14.58   11.05    1.93    1.73    1.75    0.05    0.05    0.04  285.18  301.34    0.52   66.45    0.00  218.73   69.83   45.35    0.00
 2009 251    95    85     2   219.8  210.0    9.7    1.84    3.45    7.36   11.93   13.75   11.36    1.97    1.76    1.79    0.05    0.05    0.04  286.98  302.64    0.52   66.77    0.00  220.21   69.83   59.81    0.00
 2009 252    96    85     2   216.9  207.1    9.7    2.37    3.62    7.16   11.45   13.52   11.45    1.95    1.75    1.79    0.06    0.05    0.04  288.97  304.31    0.52   67.09    0.00  221.88   70.51   63.69    0.00
 2009 253    97    85     2   217.4  207.6    9.7    3.23    4.06    7.45   11.36   13.38   11.34    1.92    1.75    1.80    0.06    0.05    0.04  291.12  306.06    0.52   67.45    0.00  223.67   71.79   63.69    0.00
 2009 254    98    85     2   218.5  208.9    9.6    4.15    4.50    7.80   11.28   13.29   11.28    1.86    1.74    1.80    0.05    0.05    0.04  293.25  307.89    0.52   67.81    0.00  225.44   72.39   63.69    0.00
