*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 303   129   118   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 304   130   119   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 305   131   120   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 306   132   121   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 307   133   122   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 308   134   123   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 309   135   124   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 310   136   125   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 311   137   126   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 312   138   127   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 313   139   128   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 314   140   129   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 315   141   130   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 316   142   131   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 317   143   132   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 318   144   133   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 319   145   134   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 320   146   135   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 321   147   136   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 322   148   137   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 323   149   138   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 324   150   139   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 325   151   140   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 326   152   141   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 327   153   142   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 328   154   143   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 329   155   144   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 330   156   145   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
