*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 251    77     0     1    49.8   41.9    8.0    2.04    2.94    5.36    5.53    6.43    1.74    1.79    1.88    0.07    0.06  101.48   81.19    0.01   12.79    0.00   88.69   58.07   17.52    0.00
 2014 252    78     0     1    50.4   42.7    7.7    1.39    2.65    5.46    5.91    6.71    1.67    1.73    1.83    0.07    0.06  103.29   83.04    0.01   13.00    0.00   90.29   58.07   18.57    0.00
 2014 253    79     0     1    49.6   41.8    7.8    1.11    2.31    5.09    5.96    6.93    1.72    1.77    1.85    0.07    0.06  104.89   84.32    0.01   13.18    0.00   91.70   58.07   20.76    0.00
 2014 254    80     0     1    46.2   38.2    8.0    1.30    2.30    4.65    5.32    6.25    1.77    1.81    1.89    0.07    0.06  106.37   85.46    0.01   13.35    0.00   93.02   58.07   25.49    0.00
 2014 255    81     0     1    46.9   39.0    7.9    1.38    2.50    4.81    5.33    6.30    1.74    1.79    1.87    0.07    0.07  108.10   87.09    0.01   13.54    0.00   94.57   58.07   26.30    0.00
 2014 256    82     0     1    46.8   38.9    7.9    1.07    2.30    4.77    5.44    6.44    1.77    1.79    1.85    0.07    0.07  109.76   88.56    0.01   13.72    0.00   96.03   58.07   27.85    0.00
 2014 257    83     0     1    46.5   38.5    8.0    1.18    2.29    4.64    5.34    6.42    1.78    1.80    1.86    0.07    0.06  111.35   89.93    0.08   13.90    0.00   97.44   58.07   29.57    0.00
 2014 258    84     0     1    46.0   38.0    8.0    1.21    2.32    4.59    5.21    6.33    1.81    1.82    1.86    0.07    0.06  112.91   91.27    0.15   14.08    0.00   98.84   58.07   31.36    0.00
 2014 259    85     0     1    38.6   30.7    7.9    0.83    1.44    3.20    4.33    5.84    1.81    1.80    1.84    0.07    0.06  114.61   92.86    0.21   14.26    0.00  100.34   58.07   40.18    0.00
 2014 260    86     0     1    37.1   29.1    8.1    1.04    1.58    3.10    3.96    5.37    1.82    1.82    1.88    0.07    0.07  116.11   94.06    0.33   14.41    0.00  101.70   58.07   42.87    0.00
 2014 261    87     0     1    36.4   28.3    8.1    1.03    1.76    3.18    3.75    5.03    1.81    1.80    1.89    0.08    0.07  117.68   95.48    0.41   14.57    0.00  103.11   58.07   44.99    0.00
 2014 262    88     0     1    36.1   28.0    8.1    1.32    1.91    3.30    3.59    4.75    1.83    1.81    1.89    0.08    0.07  119.18   96.81    0.47   14.72    0.00  104.46   58.07   46.50    0.00
 2014 263    89     0     1    36.6   28.7    7.9    1.74    2.25    3.54    3.50    4.54    1.76    1.77    1.87    0.08    0.07  120.79   98.41    0.50   14.89    0.00  105.91   58.07   47.42    0.00
 2014 264    90     0     1    37.5   29.7    7.8    2.03    2.58    3.85    3.49    4.43    1.74    1.73    1.83    0.08    0.07  122.39   99.98    0.52   15.05    0.00  107.33   58.07   47.91    0.00
 2014 265    91     0     1    38.8   31.2    7.6    2.56    2.93    4.21    3.48    4.37    1.72    1.68    1.78    0.08    0.07  124.02  101.62    0.53   15.23    0.00  108.78   58.07   48.06    0.00
 2014 266    92     0     1    40.3   33.0    7.3    2.87    3.40    4.64    3.51    4.35    1.62    1.61    1.71    0.07    0.07  125.69  103.43    0.53   15.42    0.00  110.27   58.07   48.06    0.00
 2014 267    93     0     1    41.8   34.8    7.0    3.46    3.74    5.06    3.52    4.33    1.61    1.56    1.64    0.07    0.06  127.41  105.18    0.53   15.62    0.00  111.79   58.07   48.06    0.00
 2014 268    94     0     1    43.3   36.6    6.7    4.55    4.12    5.36    3.50    4.30    1.51    1.47    1.57    0.07    0.06  129.09  107.00    0.53   15.83    0.00  113.27   58.07   48.06    0.00
 2014 269    95     0     1    44.7   38.4    6.3    5.02    4.49    5.77    3.52    4.32    1.38    1.39    1.50    0.07    0.06  130.71  108.78    0.53   16.03    0.00  114.68   58.07   48.06    0.00
 2014 270    96     0     1    46.0   40.1    6.0    2.02    4.30    6.59    4.38    4.57    1.25    1.32    1.42    0.06    0.06  132.25  110.48    0.53   16.23    0.00  116.02   58.07   48.06    0.00
 2014 271    97     0     1    47.0   40.9    6.1    2.21    4.08    6.49    4.69    4.83    1.33    1.38    1.44    0.07    0.06  133.75  111.60    0.53   16.43    0.00  117.32   58.07   48.37    0.00
 2014 272    98     0     1    48.1   42.0    6.2    3.10    4.26    6.51    4.71    4.89    1.34    1.38    1.45    0.07    0.06  135.37  112.98    0.53   16.64    0.00  118.73   58.07   48.66    0.00
 2014 273    99     0     1    45.9   39.9    6.0    1.72    2.58    5.25    5.58    5.87    1.29    1.35    1.42    0.07    0.06  137.00  114.53    0.53   16.86    0.00  120.14   58.07   52.27    0.00
 2014 274   100     0     1    44.5   38.2    6.3    1.87    2.61    4.89    5.26    5.69    1.35    1.40    1.47    0.07    0.06  138.39  115.51    0.53   17.03    0.00  121.36   58.07   54.91    0.00
 2014 275   101     0     1    43.8   37.4    6.4    2.01    2.77    4.82    5.01    5.48    1.39    1.42    1.50    0.07    0.06  139.85  116.69    0.55   17.20    0.00  122.65   58.07   56.86    0.00
 2014 276   102     0     1    44.0   37.6    6.4    2.42    3.05    4.96    4.84    5.28    1.41    1.41    1.49    0.07    0.06  141.45  118.12    0.57   17.39    0.00  124.06   58.07   58.07    0.00
 2014 277   103     0     1    44.9   38.7    6.3    3.14    3.43    5.23    4.73    5.13    1.38    1.39    1.46    0.07    0.06  143.15  119.72    0.57   17.60    0.00  125.56   58.07   58.62    0.00
 2014 278   104     0     1    46.2   40.2    6.0    3.27    3.92    5.62    4.76    5.06    1.32    1.34    1.41    0.07    0.06  144.77  121.36    0.58   17.80    0.00  126.97   58.07   58.72    0.00
 2014 279   105     0     1    47.6   41.7    5.9    3.34    4.23    6.00    4.84    5.09    1.34    1.32    1.37    0.06    0.06  146.37  122.85    0.58   18.01    0.00  128.36   58.07   58.72    0.00
 2014 280   106     0     1    49.0   43.2    5.8    4.01    4.48    6.29    4.91    5.06    1.35    1.30    1.33    0.06    0.06  148.00  124.37    0.58   18.23    0.00  129.77   58.07   58.72    0.00
 2014 281   107     0     1    50.4   44.8    5.6    4.99    4.82    6.55    4.88    5.04    1.29    1.25    1.29    0.06    0.06  149.63  125.97    0.58   18.45    0.00  131.17   58.07   58.72    0.00
 2014 282   108     0     1    51.8   46.4    5.4    5.42    5.14    6.90    4.89    5.05    1.20    1.20    1.25    0.06    0.06  151.17  127.53    0.58   18.67    0.00  132.50   58.07   58.72    0.00
 2014 283   109     0     1    53.0   47.9    5.1    5.85    5.46    7.24    4.91    5.07    1.09    1.14    1.20    0.06    0.06  152.66  129.07    0.58   18.89    0.00  133.77   58.07   58.72    0.00
 2014 284   110     0     1    54.3   49.4    4.8    6.27    5.78    7.59    4.92    5.08    0.97    1.08    1.14    0.06    0.05  154.11  130.59    0.58   19.11    0.00  135.00   58.07   58.72    0.00
 2014 285   111     0     1    55.4   50.8    4.6    6.64    6.07    7.91    4.94    5.10    0.86    1.03    1.10    0.06    0.05  155.48  131.99    0.58   19.33    0.00  136.15   58.07   58.72    0.00
 2014 286   112     0     1    56.5   52.1    4.4    6.98    6.32    8.20    4.95    5.11    0.77    0.99    1.06    0.06    0.05  156.75  133.26    0.58   19.53    0.00  137.22   58.07   58.72    0.00
 2014 287   113     0     1    57.5   53.3    4.2    7.29    6.57    8.48    4.97    5.12    0.75    0.95    1.03    0.05    0.05  158.02  134.47    0.58   19.74    0.00  138.28   58.07   58.72    0.00
 2014 288   114     0     1    58.5   54.5    4.1    7.61    6.80    8.75    4.98    5.13    0.70    0.92    0.99    0.05    0.05  159.22  135.64    0.58   19.94    0.00  139.28   58.07   58.72    0.00
 2014 289   115     0     1    59.5   55.6    3.9    7.91    7.03    9.01    4.99    5.15    0.65    0.88    0.95    0.05    0.05  160.36  136.77    0.58   20.13    0.00  140.23   58.07   58.72    0.00
 2014 290   116     0     1    60.4   56.7    3.7    8.20    7.25    9.27    5.00    5.16    0.60    0.83    0.91    0.05    0.05  161.46  137.87    0.58   20.32    0.00  141.14   58.07   58.72    0.00
