*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2014 261    87  14.80  30.60  23.60  3.767  1.735  2.017  3.751  1.735  2.017  0.000  0.000  386.77  256.87  143.34  113.52    0.00    0.00   0.659   0.470   0.389   0.276   0.222   0.173
 2014 262    88  23.70  31.80  24.50  6.195  2.619  3.552  6.172  2.619  3.552  0.000  0.000  392.97  263.04  145.96  117.08    0.00    0.00   1.115   0.835   0.701   0.500   0.402   0.262
 2014 263    89  22.00  32.10  24.90  5.680  2.402  3.257  5.658  2.402  3.257  0.000  0.000  398.65  268.70  148.36  120.33    0.00    0.00   1.053   0.757   0.636   0.450   0.361   0.240
 2014 264    90  21.10  34.30  26.50  5.686  2.406  3.261  5.666  2.406  3.261  0.000  0.000  404.34  274.36  150.77  123.59    0.00    0.00   1.113   0.745   0.618   0.437   0.348   0.241
 2014 265    91  21.90  33.40  25.20  5.802  2.453  3.327  5.780  2.453  3.327  0.000  0.000  410.14  280.14  153.22  126.92    0.00    0.00   1.075   0.780   0.650   0.458   0.363   0.245
 2014 266    92  20.90  33.80  26.50  5.531  2.339  3.172  5.511  2.339  3.172  0.000  0.000  415.67  285.65  155.56  130.09    0.00    0.00   1.062   0.735   0.611   0.427   0.337   0.234
 2014 267    93  25.10  33.80  26.00  6.719  2.842  3.853  6.695  2.842  3.853  0.000  0.000  422.39  292.35  158.40  133.95    0.00    0.00   1.262   0.904   0.757   0.521   0.410   0.284
 2014 268    94  23.80  33.70  25.60  6.242  2.640  3.580  3.974  2.640  1.334  0.000  0.000  428.63  296.32  161.04  135.28    0.00    0.00   1.124   0.143   0.044   0.016   0.008   0.264
 2014 269    95  23.30  34.80  23.90  6.061  2.562  3.476  3.774  2.562  1.212  0.000  0.000  434.69  300.10  163.60  136.49    0.00    0.00   1.006   0.140   0.042   0.015   0.008   0.256
 2014 270    96   8.60  30.20  20.30  2.063  0.871  1.183  2.054  0.871  1.183  0.000  0.000  436.75  302.15  164.48  137.68    0.00    0.00   0.371   0.296   0.237   0.159   0.121   0.087
